iter	Precision	Logloss
0	0.8185226449	0.6822562839
1	0.8185226449	0.669948756
2	0.8293712645	0.6613340318
3	0.8267386655	0.6531483561
4	0.8325842004	0.6458930144
5	0.8366375674	0.6370807318
6	0.8349599759	0.6288165665
7	0.8364436551	0.6199641359
8	0.8364436551	0.6069089829
9	0.8353923783	0.5998405357
10	0.8357117017	0.5930103456
11	0.8365430861	0.5879987336
12	0.83657292	0.58226728
13	0.8368632899	0.5754637425
14	0.8362231271	0.5685666469
15	0.8353285429	0.5608077592
16	0.8355200783	0.5515848946
17	0.8346269968	0.5441756877
18	0.8358394994	0.5370446526
19	0.8362870994	0.5299068438
20	0.8358394994	0.5242454509
21	0.8359673362	0.519543573
22	0.8361591647	0.5119555164
23	0.8364150731	0.5032245866
24	0.8364790747	0.4983671077
25	0.836735179	0.4923199592
26	0.837825374	0.4883342056
27	0.8373119874	0.4829858807
28	0.8368632899	0.4781547933
29	0.8370555299	0.474238325
30	0.8369273601	0.4695353704
31	0.8369273601	0.463943844
32	0.8366071072	0.4589344122
33	0.8360952121	0.4552951552
34	0.835583943	0.4503043981
35	0.8360312693	0.4479402476
36	0.8362870994	0.445600159
37	0.8360952121	0.4431476701
38	0.8359034129	0.439425012
39	0.8361591647	0.4346291853
40	0.8367992296	0.4319334224
41	0.837568602	0.4289515647
42	0.8376327803	0.4267874653
43	0.837568602	0.422740517
44	0.8372478583	0.4190231227
45	0.837953819	0.4167072273
46	0.8384679932	0.4144779252
47	0.8385323094	0.4120929077
48	0.8376969683	0.4097419006
49	0.8376969683	0.4078569141
50	0.8373119874	0.4045377234
51	0.8373119874	0.4019987712
52	0.8369914401	0.3995687037
53	0.8366071072	0.3973673593
54	0.8369914401	0.3943874629
55	0.8371196296	0.3916820287
56	0.837183739	0.3892664475
57	0.837440275	0.3860803233
58	0.8373761263	0.3848876965
59	0.8376327803	0.3828281338
60	0.8375044336	0.3814964867
61	0.8375044336	0.3795809541
62	0.837440275	0.3785336119
63	0.8380180563	0.3762122777
64	0.8378895916	0.3737337943
65	0.8377611662	0.3726783923
66	0.837953819	0.3697662315
67	0.837825374	0.3681311354
68	0.837568602	0.3661268183
69	0.837440275	0.3640253688
70	0.837440275	0.3625801771
71	0.837440275	0.360961392
72	0.8376969683	0.3588071306
73	0.8376327803	0.3570575084
74	0.837825374	0.3550579509
75	0.8376327803	0.3533835454
76	0.8376327803	0.3515040615
77	0.8376969683	0.3505244838
78	0.8380823035	0.3489150905
79	0.8380823035	0.3478594969
80	0.8385323094	0.3464348092
81	0.8384679932	0.3455119296
82	0.8387896727	0.3439102783
83	0.8392404388	0.3427029494
84	0.8388540382	0.3412075969
85	0.8389827988	0.340166574
86	0.8387896727	0.338817035
87	0.8388540382	0.3371942582
88	0.8387896727	0.3358560403
89	0.8387896727	0.333907179
90	0.8386609713	0.3325940191
91	0.8388540382	0.331589483
92	0.8388540382	0.3307000488
93	0.8389184136	0.3298819288
94	0.8388540382	0.3291667891
95	0.839047194	0.3278970729
96	0.8389827988	0.3273708056
97	0.8396916896	0.3262415256
98	0.8397561937	0.324914769
99	0.8398852314	0.3234480162
100	0.8398852314	0.3227645409
101	0.8400143089	0.3219879522
102	0.8398207076	0.3216118877
103	0.8409836558	0.3205578859
104	0.8409189631	0.319659086
105	0.8411130711	0.3190261758
106	0.8410483585	0.3183575909
107	0.8411777937	0.3174981262
108	0.8413720213	0.3168650028
109	0.8414367837	0.3163078849
110	0.8415663385	0.3153207594
111	0.8416311309	0.3142699187
112	0.8422796038	0.3128718418
113	0.8421498293	0.3120570726
114	0.8420200947	0.3113613528
115	0.8418904002	0.3109700822
116	0.8422147115	0.3097640327
117	0.8426042151	0.3088290593
118	0.842344506	0.3078817212
119	0.8422796038	0.3072302184
120	0.8425392728	0.3067594178
121	0.842799102	0.3062908297
122	0.8432541889	0.3053236996
123	0.8431891464	0.304698164
124	0.8432541889	0.3043479348
125	0.8432541889	0.3040811299
126	0.8432541889	0.3035314113
127	0.8431891464	0.3029774248
128	0.8431241139	0.3026127532
129	0.8430590915	0.3022266277
130	0.8431891464	0.3018027845
131	0.8431891464	0.3009880523
132	0.843384304	0.29975377
133	0.8437097675	0.2990993751
134	0.8434493766	0.2986084537
135	0.8435144593	0.2983350907
136	0.8433192414	0.2979311919
137	0.843384304	0.2970997619
138	0.843384304	0.2967390797
139	0.843384304	0.2964065669
140	0.8432541889	0.295976537
141	0.8434493766	0.2953266893
142	0.8433192414	0.2949101015
143	0.843579552	0.2942687044
144	0.8439051663	0.2934984684
145	0.8439051663	0.292808627
146	0.8443614488	0.2918968501
147	0.8444919058	0.2914537722
148	0.8444266723	0.2910892037
149	0.8458092924	0.29022302
150	0.8457444783	0.2897662949
151	0.8459389504	0.2890013596
152	0.8459389504	0.2887592141
153	0.8459389504	0.2884992467
154	0.8458741164	0.2882644407
155	0.8458741164	0.2878716843
156	0.8460686481	0.2872396627
157	0.8461335119	0.2869015333
158	0.8461335119	0.2863370437
159	0.8461335119	0.286251616
160	0.8461335119	0.2858225479
161	0.8463281629	0.2854382751
162	0.8462632693	0.2850366047
163	0.8461983856	0.2847329422
164	0.8462632693	0.2844205083
165	0.8461983856	0.2842697024
166	0.8461335119	0.2838840488
167	0.8460037943	0.2832359064
168	0.8460686481	0.2825813816
169	0.8460686481	0.282435424
170	0.8460686481	0.2820812063
171	0.8462632693	0.2816219075
172	0.8461983856	0.2813417559
173	0.8461983856	0.2808003066
174	0.8461335119	0.280613854
175	0.8460037943	0.2801853778
176	0.8464579801	0.2796340492
177	0.8464579801	0.2795649294
178	0.8464579801	0.279312288
179	0.8463930665	0.2791576176
180	0.8466527804	0.2786299335
181	0.846587837	0.2782188496
182	0.8463930665	0.2779063448
183	0.8464579801	0.2777119911
184	0.8463930665	0.2773722162
185	0.8463930665	0.2768887216
186	0.8463281629	0.276408354
187	0.8461983856	0.2761106851
188	0.8461983856	0.2759629518
189	0.8465229036	0.2754901694
190	0.8466527804	0.2749935143
191	0.8467177338	0.2743038372
192	0.846587837	0.2740170426
193	0.8466527804	0.2737723368
194	0.8471076635	0.2730205715
195	0.847758345	0.2724056386
196	0.8475630356	0.2722650782
197	0.8476932319	0.2720470758
198	0.8485404835	0.2709655882
199	0.8488015171	0.2705534519
200	0.8488015171	0.270327807
201	0.8488015171	0.2700199173
202	0.8488015171	0.2695880545
203	0.8488668006	0.269410382
204	0.8487362437	0.2693425255
205	0.8491933688	0.2684388098
206	0.8493240665	0.2682383026
207	0.8492587126	0.2681405026
208	0.8493894304	0.2679015491
209	0.8493240665	0.2676427968
210	0.8493894304	0.2673661849
211	0.8493240665	0.2670993817
212	0.8494548044	0.2668820794
213	0.8496509867	0.2665471243
214	0.849716401	0.266229753
215	0.849716401	0.2659439361
216	0.8496509867	0.2657797735
217	0.849716401	0.2655723571
218	0.8496509867	0.2653553326
219	0.849716401	0.2652116811
220	0.8497818253	0.2649171269
221	0.849716401	0.2646972635
222	0.849716401	0.2645198992
223	0.8495855825	0.2643912395
224	0.8495855825	0.2642795672
